layer,step,kappa_curv,spectral_norm_hessian,lipschitz_constant,gradient_norm,condition_number,timestamp_ms
layer0,80,0.12599,0.25198,0.917993,0.25198,0.917993,1350452017
layer0,81,0.123917,0.247834,0.942939,0.247834,0.942939,1350452018
layer0,82,0.12317,0.24634,0.927491,0.24634,0.927491,1350452020
layer0,83,0.136602,0.273205,0.934626,0.273205,0.934626,1350452021
layer0,84,0.139298,0.278596,0.926141,0.278596,0.926141,1350452023
layer0,85,0.13647,0.27294,0.942228,0.27294,0.942228,1350452024
layer0,86,0.125028,0.250056,0.943564,0.250056,0.943564,1350452026
layer0,87,0.130856,0.261713,0.932331,0.261713,0.932331,1350452027
layer0,88,0.124414,0.248827,0.920111,0.248827,0.920111,1350452029
layer0,89,0.141893,0.283786,0.936435,0.283786,0.936435,1350452030
layer0,90,0.125486,0.250971,0.91217,0.250971,0.91217,1350452032
layer0,91,0.138048,0.276096,0.894098,0.276096,0.894098,1350452033
layer0,92,0.14378,0.28756,0.940389,0.28756,0.940389,1350452035
layer0,93,0.122131,0.244263,0.930846,0.244263,0.930846,1350452036
layer0,94,0.149318,0.298636,0.913309,0.298636,0.913309,1350452038
layer0,95,0.131957,0.263913,0.923687,0.263913,0.923687,1350452039
layer0,96,0.12378,0.24756,0.936026,0.24756,0.936026,1350452041
layer0,97,0.127667,0.255333,0.936569,0.255333,0.936569,1350452042
layer0,98,0.122987,0.245974,0.939793,0.245974,0.939793,1350452044
layer0,99,0.127085,0.254169,0.920174,0.254169,0.920174,1350452045
